Rank,Recommended action,Score impact,Points achieved,Status,Regressed,Have license?,Category,Product,Last synced ,Microsoft update,Notes
37,Deploy a log collector to discover shadow IT activity,+0.41%,	0/1,To address,No,No,Apps,Microsoft Defender for Cloud Apps,15/11/2022,None,
38,Turn on customer lockbox feature,+0.41%,	0/1,To address,No,No,Apps,Exchange Online,2/1/2023,None,
39,Enable self-service password reset,+0.41%,	0/1,To address,No,No,Identity,Azure Active Directory,2/1/2023,None,
40,Restrict anonymous users from joining meetings,+0.41%,	0/1,To address,No,Yes,Apps,Microsoft Teams,25/12/2022,None,
41,Turn on the common attachments filter setting for anti-malware policies,+2.03%,	4.17/5,To address,No,No,Apps,Defender for Office,2/1/2023,None,
42,Enable the 'show first contact safety tip' option,+1.63%,	3.22/4,To address,No,No,Apps,Defender for Office,2/1/2023,None,
43,Set action to take on high confidence spam detection,+2.03%,	4.86/5,To address,Yes,No,Apps,Defender for Office,2/1/2023,None,
44,Ensure that mailbox intelligence is enabled,+3.25%,	8/8,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
45,Do not expire passwords,+3.25%,	8/8,Completed,No,Yes,Identity,Azure Active Directory,2/1/2023,None,
46,Create zero-hour auto purge policies for malware,+2.44%,	6/6,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
47,Set action to take on spam detection,+2.03%,	5/5,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
48,Set action to take on high confidence phishing detection,+2.03%,	5/5,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
49,Set action to take on phishing detection,+2.03%,	5/5,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
50,Create Data Loss Prevention (DLP) policies,+2.03%,	5/5,Completed,No,Yes,Data,Microsoft Information Protection,2/1/2023,None,
51,Turn on Safe Documents for Office Clients,+2.03%,	5/5,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
52,"Turn on Microsoft Defender for Office 365 in SharePoint, OneDrive, and Microsoft Teams",+2.03%,	5/5,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
53,Enable password hash sync if hybrid,+2.03%,	5/5,Completed,No,Yes,Identity,Azure Active Directory,2/1/2023,31/12/2022 05:30,
54,Ensure spam safety tips are enabled,+1.22%,	3/3,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
55,Create zero-hour auto purge policies for phishing messages,+1.22%,	3/3,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
56,Publish M365 sensitivity label data classification policies,+0.81%,	2/2,Completed,No,No,Data,Microsoft Information Protection,2/1/2023,None,
57,Set automatic email forwarding rules to be system controlled,+0.41%,	1/1,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
58,Create zero-hour auto purge policies for spam messages,+0.41%,	1/1,Completed,No,No,Apps,Defender for Office,2/1/2023,None,
59,Restrict anonymous users from starting Teams meetings,+0.41%,	1/1,Completed,No,Yes,Apps,Microsoft Teams,25/12/2022,None,
60,Limit external participants from having control in a Teams meeting,+0.41%,	1/1,Completed,No,Yes,Apps,Microsoft Teams,25/12/2022,None,
61,Restrict dial-in users from bypassing a meeting lobby ,+0.41%,	1/1,Completed,No,Yes,Apps,Microsoft Teams,25/12/2022,None,
62,Designate more than one global admin,+0.41%,	1/1,Completed,No,Yes,Identity,Azure Active Directory,2/1/2023,None,
63,Use least privileged administrative roles,+0.41%,	1/1,Completed,No,Yes,Identity,Azure Active Directory,2/1/2023,None,
